,CV Folds,Comparison,Scaler,Scoring Metric,k:1,k:10,k:11,k:12,k:13,k:14,k:15,k:16,k:17,k:18,k:19,k:2,k:3,k:4,k:5,k:6,k:7,k:8,k:9
13,5,CSVs/AvB.csv,RobustScaler,precision,0.9930752457344683,0.9812216049253607,0.9791558240307886,0.9803964535874667,0.9775095962264999,0.9795674467424812,0.9750193324664765,0.9770649129676972,0.974203971030789,0.975422734785743,0.9730007591564191,0.9978194480121015,0.9926375507033324,0.9934845011988237,0.9875902469617645,0.9901109410932898,0.98633090867988,0.9871515480276594,0.980798881218683
14,5,CSVs/AvB.csv,None,precision,0.9775957981347254,0.9573015030481494,0.9555054404215916,0.956517437719436,0.951264346026797,0.9527321180960232,0.9496631804344366,0.9542640633374241,0.9506886756242746,0.9522127604447419,0.9490073944622406,0.9815504532605764,0.9573979404314471,0.9638997604511802,0.9580158725952057,0.9612094195896683,0.9542361297816753,0.9585748132561251,0.9546609992846277
15,5,CSVs/AvB.csv,MinMaxScaler,recall,0.9904205740267121,0.9930340058728806,0.9934697357203751,0.9930349531116794,0.9939054655678696,0.9926001705029839,0.9939045183290709,0.9917287108079946,0.9943393009377666,0.9934697357203752,0.9939054655678696,0.9817107132708156,0.9921597044614948,0.9895472198541253,0.9934678412427773,0.9904196267879133,0.9939035710902718,0.9917268163303969,0.9930340058728806
16,5,CSVs/AvB.csv,StandardScaler,recall,0.9934659467651794,0.9917258690915981,0.992597328786587,0.9921615989390926,0.9930330586340815,0.9921615989390926,0.9930330586340815,0.9921615989390926,0.9939045183290707,0.9934687884815763,0.9939045183290707,0.9843175144453917,0.9934659467651796,0.9895462726153263,0.9917239746140002,0.9895462726153263,0.9917249218527993,0.9904186795491144,0.9917258690915981
17,5,CSVs/AvB.csv,MaxAbsScaler,recall,0.989110542767832,0.9921625461778915,0.9939045183290707,0.9930340058728806,0.9939045183290707,0.9921634934166903,0.9943402481765652,0.9917277635691958,0.9930340058728806,0.9917277635691958,0.9934697357203752,0.9812730889457232,0.9917258690915979,0.9878071421805437,0.9908553566354078,0.988676707397935,0.9930330586340818,0.9912910864829023,0.9930340058728806
18,5,CSVs/AvB.csv,RobustScaler,recall,0.9956427015250545,0.9956455432414512,0.996951785545136,0.9956455432414512,0.9969527327839348,0.9969527327839348,0.9969527327839348,0.9965170029364401,0.9969527327839348,0.9965170029364401,0.997822298001326,0.991286350288908,0.9947721890688642,0.9925954343089893,0.993902623851473,0.993902623851473,0.9952098133939566,0.9952098133939566,0.9956455432414512
19,5,CSVs/AvB.csv,None,recall,0.9690688642606802,0.9647134602633324,0.9708136781282561,0.9664573268921094,0.9708127308894572,0.9673278393482997,0.9695064885857725,0.9625348110258596,0.9655839727195226,0.9634062707208486,0.965148242872028,0.9525139717722839,0.9673278393482997,0.9607937861134792,0.9681992990432887,0.9564345931609358,0.9664563796533105,0.9634062707208487,0.9690707587382779
20,5,CSVs/AvB.csv,MinMaxScaler,MCC,0.8888940080180557,0.8554214625463133,0.8301600972887948,0.8405959668284929,0.8246193755955409,0.8335495521094952,0.8269746141148853,0.8275430962373059,0.8167652110775027,0.8253056755310514,0.8024159452809763,0.8835142326007706,0.8908527114759813,0.900937948357095,0.8764560932538048,0.8757487962820077,0.8687392554467545,0.8687956180799239,0.8428501643719006
21,5,CSVs/AvB.csv,StandardScaler,MCC,0.9213412807953956,0.8352828509376045,0.8192687477790059,0.8301349313373345,0.8093708025856475,0.8254880677700094,0.8065332326495408,0.8149664199947294,0.8058483686965973,0.8083808371692376,0.7981306158026577,0.9035272402170292,0.9161377696293836,0.9104735076613842,0.8876473733923635,0.8885756236884428,0.8678906839071013,0.8672983825109337,0.8326968351269501
22,5,CSVs/AvB.csv,MaxAbsScaler,MCC,0.883137097599828,0.858101259231403,0.8468916602158243,0.8575288526858647,0.8348176573389299,0.8339431890748406,0.8362646659666684,0.8296807717349278,0.8309467355293206,0.8278029619392487,0.8306079811237126,0.8782146711655499,0.8818890644411363,0.8897799566198905,0.8637142880018238,0.8639660449771063,0.8622490760070137,0.8691190513687121,0.8546830171603533
